,소재지도로명주소,위도,경도,시도,시군구,기타,아침,점심,저녁,월,화,수,목,금,토,일,노인만 대상,운영시작,운영종료년도,폐업,급식일
0,서울특별시 강남구 광평로 56길 11,37.4879790845,127.1056313773,서울특별시,강남구,광평로 56길 11,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
1,서울특별시 강남구 양재대로 55길 10,37.4931558395,127.0909926420,서울특별시,강남구,양재대로 55길 10,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
2,서울특별시 강남구 헌릉로590길 88,37.4628770239,127.1014454587,서울특별시,강남구,헌릉로590길 88,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
3,서울특별시 강남구 개포로124길 24,37.4931977652,127.0830002458,서울특별시,강남구,개포로124길 24,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
4,서울특별시 강남구 개포로 109길 5,37.4923311992,127.0745908046,서울특별시,강남구,개포로 109길 5,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
5,서울특별시 강남구 선릉로12길 12,37.4837037949,127.0608923126,서울특별시,강남구,선릉로12길 12,0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
6,대전광역시 동구 옥천로 152-9,36.3165676349,127.4585453125,대전광역시,동구,옥천로 152-9,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
7,대전광역시 동구 대전로 895,36.3386608778,127.4284266419,대전광역시,동구,대전로 895,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
8,대전광역시 동구 선화로 226,36.3353956819,127.4302487916,대전광역시,동구,선화로 226,0,1,1,1,1,0,1,1,1,1,1,2020,2021,운영,6
9,대전광역시 동구 백룡로 48번길 79,36.3304882970,127.4501980209,대전광역시,동구,백룡로 48번길 79,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
10,대전광역시 동구 산내로 1257번길 40,36.2782473589,127.4674655422,대전광역시,동구,산내로 1257번길 40,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
11,대전광역시 중구 대전천서로 616,36.3385606537,127.4159819895,대전광역시,중구,대전천서로 616,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
12,대전광역시 중구 보문로 20번길 33,36.3159430533,127.4376434583,대전광역시,중구,보문로 20번길 33,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
13,대전광역시 중구 선화로 43번길 13,36.3276174280,127.4126717812,대전광역시,중구,선화로 43번길 13,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
14,대전광역시 중구 대전천서로 695,36.3448659197,127.4105838762,대전광역시,중구,대전천서로 695,0,1,0,1,1,1,1,1,1,0,1,2020,2021,운영,6
15,대전광역시 중구 계룡로 815번길 6,36.3273475906,127.4072666556,대전광역시,중구,계룡로 815번길 6,0,0,1,0,0,0,0,0,0,0,1,2020,2021,운영,0
16,대전광역시 중구 테미로 26,36.3207363598,127.4208495038,대전광역시,중구,테미로 26,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
17,대전광역시 서구 도솔로 182,36.3269148370,127.3742454007,대전광역시,서구,도솔로 182,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
18,대전광역시 서구 남선로 66,36.3464002460,127.3981777635,대전광역시,서구,남선로 66,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
19,대전광역시 서구 월평북로 11,36.3634867463,127.3700705201,대전광역시,서구,월평북로 11,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
20,대전광역시 서구 월평북로 11,36.3634867463,127.3700705201,대전광역시,서구,월평북로 11,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
21,대전광역시 서구 둔산로 241,36.3519669172,127.4011071147,대전광역시,서구,둔산로 241,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
22,대전광역시 유성구 가정로 15,36.3845474836,127.3440235731,대전광역시,유성구,가정로 15,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
23,대전광역시 유성구 봉산로 45,36.4372159505,127.3851195923,대전광역시,유성구,봉산로 45,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
24,대전광역시 대덕구 덕암로 234번길 44,36.4401859405,127.4265437478,대전광역시,대덕구,덕암로 234번길 44,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
25,대전광역시 대덕구 계족로 740번길 80,36.3782583557,127.4314387090,대전광역시,대덕구,계족로 740번길 80,0,1,0,0,0,0,0,0,0,0,1,2020,2021,운영,0
26,광주광역시 동구 서석로 85번길 8-12,35.150012,126.920655,광주광역시,동구,서석로 85번길 8-12,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
27,광주광역시 동구 남문로 622번길 11-20,35.127727,126.932377,광주광역시,동구,남문로 622번길 11-20,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
28,광주광역시 동구 계림로 34-4(계림동),35.1566695341,126.923427659,광주광역시,동구,계림로 34-4(계림동),0,1,0,1,0,0,0,0,1,0,1,2017,0,운영,2
29,광주광역시 동구 천변좌로 656(용산동),35.125635,126.929597,광주광역시,동구,천변좌로 656(용산동),0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
30,광주광역시 동구 동명로20번길 10(동명동),35.150486,126.924379,광주광역시,동구,동명로20번길 10(동명동),0,1,0,1,0,0,0,0,1,0,1,2017,0,운영,2
31,광주광역시 광산구 목련로 156(운남동),35.170681,126.816421,광주광역시,광산구,목련로 156(운남동),0,1,0,1,0,0,0,0,1,0,1,2017,0,운영,2
32,광주광역시 북구 우치로 219,35.1844884,126.9057200,광주광역시,북구,우치로 219,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
33,광주광역시 북구 북문대로 70(운암동),35.177287,126.878969,광주광역시,북구,북문대로 70(운암동),0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
34,광주광역시 북구 군왕로 168번길 50(두암동),35.175493,126.936331,광주광역시,북구,군왕로 168번길 50(두암동),0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
35,광주광역시 북구 동운로 213번길 22(운암동),35.175125,126.8738698,광주광역시,북구,동운로 213번길 22(운암동),0,1,0,1,0,0,0,0,1,0,1,2017,0,운영,2
36,광주광역시 북구 서암대로 130,35.169861,126.898512,광주광역시,북구,서암대로 130,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
37,인천광역시 미추홀구 구월로37번길 30(주안동),37.4588806,126.6924042,인천광역시,미추홀구,구월로37번길 30(주안동),0,1,0,0,1,0,1,0,1,0,1,2009,0,운영,3
38,서울특별시 중랑구 신내로 56,37.6043963596,127.0959749578,서울특별시,중랑구,신내로 56,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
39,서울특별시 중랑구 신내로 15길 175,37.6148108851,127.0878877553,서울특별시,중랑구,신내로 15길 175,0,1,0,1,0,0,0,0,1,0,1,2017,0,운영,2
40,서울특별시 중랑구 동일로 138길 28,37.6033046713,127.0811519470,서울특별시,중랑구,동일로 138길 28,0,1,0,1,0,0,0,1,0,0,1,2017,0,운영,2
41,경기도 광명시 소하로 25,37.4521539,126.8849611,경기도,광명시,소하로 25,0,1,0,1,0,0,0,0,1,0,0,0,0,운영,2
42,경기도 광명시 오리로 1018,37.4808472,126.8504556,경기도,광명시,오리로 1018,0,1,0,1,0,0,0,0,1,0,0,0,0,운영,2
43,경기도 광명시 소하로 25,37.4521539,126.8849611,경기도,광명시,소하로 25,0,1,0,1,0,0,0,0,1,0,0,0,0,운영,2
44,경기도 광명시 하안로 238,37.4589998,126.8846907,경기도,광명시,하안로 238,0,1,0,1,0,0,0,0,1,0,0,0,0,운영,2
45,경기도 광명시 오리로 1018,37.4808472,126.8504556,경기도,광명시,오리로 1018,0,1,0,1,0,0,0,0,1,0,0,0,0,운영,2
